标题,链接,摘要,日期
2025 F1中国大奖赛期间， 沙特阿美为观众打造体,http://www.ocpe.com.cn/baoliao/9036.html, 从左至右:中篮联(北京)体育有限公司总经理蒋健、阿美亚洲公共事务副总裁优素福&middot;穆泰里、阿美亚洲总裁赛乐&middot;扎伊德、姚基金创始人姚明以及中国足球传奇人物范 ... ,发布日期：2025-03-27
蒙牛领跑行业 率先发布乳业首个TNFD报告,http://www.ocpe.com.cn/baoliao/7633.html,4月22日，蒙牛集团发布乳业首份TNFD报告（自然相关财务信息披露框架），披露了蒙牛在生产过程及供应链端的自然相关管理实践，在提升企业治理透明度的同时，彰显了蒙牛深入践 ... ,发布日期：2024-04-22
首届中国 (成都) 现代中医药慢病防治 及守正创新,http://www.ocpe.com.cn/baoliao/2023-11-16/7075.html,新时代以来，中央多次强调中医药是中华民族的瑰宝，是优秀传统文化的重要载体。今年2月，国办下发《中医药振兴发展重大工程实施方案》，明确提出到2025年，要明显提升中医药 ... ,发布日期：2023-11-16
童周胜：ENMA给予塑料新生命,http://www.ocpe.com.cn/baoliao/2023-09-05/6763.html,  童周胜拍摄于意大利.米兰150年前人类发明了一种轻薄，结实价廉的材料。今天这种“奇迹材料”从医疗器械到航空机械等领域里都功不可没。尽管如此，联合国环境规 ... ,发布日期：2023-09-05
江苏省电源学会成立，博兰得CEO徐明当选副理事长,http://www.ocpe.com.cn/baoliao/2023-08-28/6707.html,8月18日上午，由南京航空航天大学、东南大学、中国矿业大学、江苏大学、南京博兰得电子科技有限公司等单位联合发起的江苏省电源学会在南京成立，并于南京航空航天大学将军路 ... ,发布日期：2023-08-28
加油站迎来绿色发展窗口期 中能链低碳运营、新能,http://www.ocpe.com.cn/baoliao/2023-08-21/6678.html,日前，在全国生态环境保护大会上，“推动形成绿色发展方式和生活方式”被提到新的战略高度。特别是在碳达峰、碳中和目标的背景下，“含绿量”成了绕不 ... ,发布日期：2023-08-21
三江源、大熊猫国家公园金银纪念币发行,http://www.ocpe.com.cn/baoliao/2023-08-20/6676.html,2023年8月19日，三江源、大熊猫国家公园金银纪念币由中国人民银行正式发行。其中，金质纪念币2枚，银质纪念币2枚，均为中华人民共和国法定货币。金银纪念币正面图案均为中华 ... ,发布日期：2023-08-20
探寻数据中心UPS储能技术的发展路径,http://www.ocpe.com.cn/baoliao/7472.html,探寻数据中心UPS储能技术的发展路径 ... ,发布日期：2023-08-12
国家宝藏（文明曙光）金银币市场如何，值得入手,http://www.ocpe.com.cn/baoliao/2023-07-25/6577.html,国家宝藏（文明曙光）金银纪念币于今日发行，该套金银纪念币共5枚，包括2枚小规格金币和3枚15克银币。图案样式均为博物馆的国宝文物，分别为中国国家博物馆的玉龙、陶鹰鼎、 ... ,发布日期：2023-07-25
专注健康建筑解决方案 康宅超净打造舒适高效健康,http://www.ocpe.com.cn/baoliao/2023-03-15/6066.html,随着生活水平的不断提升，人们对自身的身体健康越来越重视，对于建筑环境的空气质量要求也越来越高，尤其是近年来，降低PM2.5浓度、除粉尘、净化甲醛、隔绝病毒传播的呼声愈 ... ,发布日期：2023-03-15
碳手印意味着什么？,http://www.ocpe.com.cn/baoliao/2022-05-18/5325.html,         在全球能源转型的道路上，欧洲无疑是公认的先锋。20世纪70年代发生的两次石油危机，对欧美等发达经济体造成了巨大影响。物资短缺，物价飙涨，失业率也节节攀升。节 ... ,发布日期：2022-05-18
杰瑞股份：坚持“筑巢引凤”，打造人才聚集高地,http://www.ocpe.com.cn/baoliao/2022-01-20/5129.html, 当下，经济增长放缓叠加新冠疫情的冲击，正迫使着企业面临创新受阻以及业绩增长乏力的困扰，在此情形下，人才竞争显得愈发激烈。如何留住人才、吸引人才已成为企业的一门必 ... ,发布日期：2022-01-20
化工废水处理新技术新设备集中亮相！8月25日等你,http://www.ocpe.com.cn/baoliao/2021-07-20/4640.html,         8月25至27日，第十三届上海国际化工环保展览会将在上海新国际博览中心举办，展会将迎来化工环保行业企业大聚会，膜技术、水处理设备、中水回用技术设备、水处理药 ... ,发布日期：2021-07-20
两场奥运会，让这个体育场馆建设“专业户”浮出,http://www.ocpe.com.cn/baoliao/2021-07-19/4632.html,"       落实全民健身国家战略、加快发展体育产业,是我国《体育强国建设纲要》提出的战略总任务,而2021年恰好是体育“大年”,包括东京奥运会、欧洲杯、美洲杯、亚 ... ",发布日期：2021-07-19
小康之后更需进取,http://www.ocpe.com.cn/baoliao/2021-07-13/4615.html,"        我们在发展新型的能源电力系统中,在推进电力、燃气、供热等涉及公共事业的改革中,一直存在一个困惑,是迁就老百姓现实的既得利益,还是从他们长远的、根本的利益出发 ... ",发布日期：2021-07-13
不再斤斤计较 能链团油让大货司机单程省下800元,http://www.ocpe.com.cn/baoliao/2021-01-15/4242.html,    “通过能链团油柴油价格每升便宜了5毛，我单程就省下了800元，女儿一个月的奶粉钱就省出来了。”从成都跑广州单程近1700公里的司机陈刘伟说道。从一个城市到 ... ,发布日期：2021-01-15
能链合伙人刘新桐：数字化为媒 出行能源进入油电,http://www.ocpe.com.cn/baoliao/2021-01-13/4237.html,   1月8日，由山东隆众信息技术有限公司、临沂市石油商会、临沂商贸物流科技产业研究院主办的“2021成品油上下游资源对接大会暨民营加油站可持续发展高峰论坛”在 ... ,发布日期：2021-01-13
首次登榜全球新能源企业500强 能链集团实力领航,http://www.ocpe.com.cn/baoliao/2021-01-08/4228.html,          近日，能链集团又双获奖了，备受关注的“2020全球新能源企业500强榜单”在2020能源转型论坛暨第十届全球新能源企业500强峰会上隆重发布，能链集团首 ... ,发布日期：2021-01-08
这款软件帮助长春货运司机将省钱进行到底,http://www.ocpe.com.cn/baoliao/2021-01-07/4227.html,           每个人都有自己最爱的手机软件，比如时下流行的抖音和快手这类短视频软件。对于货运司机郭有良来说，他最爱的却是一款主打天天特价的加油软件——能链 ... ,发布日期：2021-01-07
高能环境北海应急填埋场3号、5号库区通过验收并,http://www.ocpe.com.cn/baoliao/2021-01-06/4224.html,          近日，北海市市政管理局召开了新闻发布会，介绍了由高能环境承建的北海市白水塘生活垃圾处理厂应急填埋场工程的建设情况。该项目自2020年7月31日开工建设，作为北 ... ,发布日期：2021-01-06
2021中国上海粉末冶金原料、制品及技术设备博览,http://www.ocpe.com.cn/baoliao/2020-12-31/4214.html," 2021中国上海粉末冶金原料、制品及技术设备博览会2021 China International Powder metallurgy Raw materials, products and technical equipment Expo时间：2021年6月27- ... ",发布日期：2020-12-31
冀中股份亿吨铁矿资源勘探全面开工,http://www.ocpe.com.cn/baoliao/2020-12-30/4209.html,         &#8203;12月30日上午，冀中能源股份公司举办白涧铁矿勘探项目开工仪式。随着22台钻机同时发动开钻，具有亿吨储量的年产200万吨白涧铁矿项目进入全面勘探施工阶段。 ... ,发布日期：2020-12-30
包头分公司网格化“把脉问诊”助力设备“强筋壮,http://www.ocpe.com.cn/baoliao/2020-12-27/4204.html,       入冬以来，国家能源投资集团铁路装备有限责任公司包头分公司结合冬季设备运行特点，从总结往年冬季设备高发故障着手，加大检查力度，排除设备隐患，深度剖析设备故障 ... ,发布日期：2020-12-27
专访爱普生(中国)有限公司总裁深石明宏 厚植绿色,http://www.ocpe.com.cn/baoliao/2020-12-24/4199.html,"          使用过的文件纸张,通过纤维分离、强化粘合和按压成型三步,便可转化为环保再生纸,1小时可产纸720张。最令人惊奇的是,纸张再生过程无需消耗水资源。在第三届中国国 ... ",发布日期：2020-12-24
